DC Candidate ID,Name,Company Name,Company Number,Company Status,Role,Role Status,Role Appointed Date,Role Resigned Date
45,Daniel ZEICHNER,CROSSROADS (CAMBRIDGE CITY),03155262,Dissolved,Secretary,,19 February 2009,
45,Daniel ZEICHNER,CROSSROADS (CAMBRIDGE CITY),03155262,Dissolved,Director,Resigned,10 April 2008,1 October 2009
96,Roger Kingdon HARMER,ACOCKS GREEN PRIMARY SCHOOL,08424090,Active,Director,Active,28 February 2013,
96,Roger Kingdon HARMER,SUSTAINING SUCCESS LIMITED,07546756,Active,Director,Active,14 March 2011,
96,Roger Kingdon HARMER,ACIVICO (BUILDING CONSULTANCY) LIMITED,07918763,Active,Director,Resigned,1 May 2012,19 May 2012
96,Roger Kingdon HARMER,ACIVICO LIMITED,07792304,Active,Director,Resigned,6 January 2012,19 May 2012
96,Roger Kingdon HARMER,STOCKFIELD COMMUNITY ASSOCIATION (SUBSIDIARY) LIMITED,02624455,Active,Director,Resigned,29 July 2011,4 May 2012
96,Roger Kingdon HARMER,STOCKFIELD COMMUNITY ASSOCIATION,02588109,Active,Director,Resigned,29 July 2011,4 May 2012
190,Justin TOMLINSON,TB MARKETING SOLUTIONS LIMITED,04739303,Dissolved,Director,,18 April 2003,
195,Desmond Angus SWAYNE,CO-GAS SAFETY THE CARBON MONOXIDE AND GAS SAFETY SOCIETY,03084435,Active,Director,Resigned,19 October 2004,11 November 2010
216,Shabana MAHMOOD,ALHUDA HEALTHCARE LTD,08287782,Active,Director,Active,1 June 2017,
216,Shabana MAHMOOD,HUR PHARMA LIMITED,05513496,Dissolved,Director,,1 May 2009,
216,Shabana MAHMOOD,HUR PHARMA LIMITED,05513496,Dissolved,Secretary,,1 May 2009,
216,Shabana MAHMOOD,HRSM CAPITAL LTD,13928154,Active,Director,Active,21 February 2022,
227,Bob BLACKMAN,COMMONWEALTH PARLIAMENTARY ASSOCIATION (UNITED KINGDOM BRANCH),04606846,Active,Director,Active,4 July 2018,
248,Nia Rhiannon GRIFFITH,LLANELLI RAILWAY GOODS SHED TRUST,07583629,Active,Director,Active,30 March 2011,
360,Craig Michael DOBSON,CONTROL SYSTEM REALISATION LIMITED,05485140,Active,Director,Active,20 June 2005,
384,Tobias Martin ELLWOOD,QUEEN'S PARK INFANT ACADEMY,08434359,Dissolved,Director,Resigned,1 April 2013,31 August 2016
425,Stephen CRABB,PEMBROKESHIRE ACTION TO COMBAT HARDSHIP (PATCH),06365713,Active,Director,Resigned,3 January 2012,4 September 2012
425,Stephen CRABB,COMMONWEALTH PARLIAMENTARY ASSOCIATION (UNITED KINGDOM BRANCH),04606846,Active,Director,Resigned,2 July 2008,6 July 2009
439,Jonathan Christopher St.Aubyn ESSEX,FURNISTORE IN EAST SURREY LIMITED,05960870,Active,Director,Active,10 November 2010,
439,Jonathan Christopher St.Aubyn ESSEX,VOLUNTARY ACTION REIGATE & BANSTEAD LTD,07217319,Active,Director,Active,1 September 2010,
439,Jonathan Christopher St.Aubyn ESSEX,BIOREGIONAL REIY LTD,06735818,Dissolved,Director,Resigned,28 October 2008,23 July 2010
439,Jonathan Christopher St.Aubyn ESSEX,BIOREGIONAL REIY LTD,06735818,Dissolved,Secretary,Resigned,28 October 2008,23 July 2010
449,Mark Gino FRANCOIS,MOVEMENT FOR EUROPEAN REFORM LIMITED,06008654,Dissolved,Director,,7 November 2007,
487,Heather Kay WHEELER,INDUSTRY AND PARLIAMENT TRUST,01308583,Active,Director,Resigned,6 July 2015,5 September 2016
495,Martin John VICKERS,THE CONSERVATIVE CHRISTIAN FELLOWSHIP LIMITED,07030775,Active,Director,Resigned,9 August 2018,6 February 2020
582,Toby PERKINS,NURTURE NURSERY LIMITED,05913059,Dissolved,Director,Resigned,23 August 2007,1 August 2010
688,Mark Richard TAMI,26 CAMBRIDGE ROAD LTD,04698190,Active,Secretary,Resigned,2 May 2003,11 September 2008
688,Mark Richard TAMI,26 CAMBRIDGE ROAD LTD,04698190,Active,Director,Resigned,2 May 2003,11 September 2008
710,Matthew RODDA,HEMDEAN PEOPLE LTD,09625172,Dissolved,Director,Resigned,5 June 2015,10 July 2017
784,Andrew Richard ROSINDELL,COMMONWEALTH PARLIAMENTARY ASSOCIATION (UNITED KINGDOM BRANCH),04606846,Active,Director,Active,7 July 2010,
784,Andrew Richard ROSINDELL,CO-GAS SAFETY THE CARBON MONOXIDE AND GAS SAFETY SOCIETY,03084435,Active,Director,Resigned,7 December 2010,19 May 2023
784,Andrew Richard ROSINDELL,CANADA-UNITED KINGDOM COUNCIL,02681599,Active,Director,Resigned,11 January 2011,18 December 2019
784,Andrew Richard ROSINDELL,THE WESTMINSTER FOUNDATION FOR DEMOCRACY LIMITED,02693163,Active,Director,Resigned,18 August 2010,17 August 2019
784,Andrew Richard ROSINDELL,THE EUROPEAN FOUNDATION,02745888,Active,Director,Resigned,28 October 1998,10 September 1999
816,Valerie VAZ,THE WESTMINSTER FOUNDATION FOR DEMOCRACY LIMITED,02693163,Active,Director,Resigned,25 May 2022,29 November 2022
816,Valerie VAZ,COMMONWEALTH PARLIAMENTARY ASSOCIATION (UNITED KINGDOM BRANCH),04606846,Active,Director,Resigned,14 July 2015,28 January 2020
897,Maria Colette CAULFIELD,NEWHAVEN FISHING CIC,15109714,Active,Director,Active,1 September 2023,
897,Maria Colette CAULFIELD,LIVING AND DYING WELL LIMITED,07250605,Active,Director,Resigned,4 July 2019,31 July 2019
897,Maria Colette CAULFIELD,BHT SUSSEX,01618610,Active,Director,Resigned,26 November 2012,26 May 2015
1021,Sheryll MURRAY,THE FISHERMEN'S ASSOCIATION LIMITED,SC160307,Dissolved,Director,Resigned,30 March 2001,12 June 2003
1067,Anne Marie MORRIS,SANDFORD ORLEIGH MANAGEMENT COMPANY LIMITED,04246935,Active,Director,Active,11 December 2018,
1067,Anne Marie MORRIS,MANTEION LIMITED,05619235,Active,Director,Active,10 November 2005,
1067,Anne Marie MORRIS,WESTMINSTER GREEN MANAGEMENT COMPANY LIMITED,05009730,Active,Director,Resigned,24 July 2019,19 April 2021
1067,Anne Marie MORRIS,POLICY RESEARCH UNIT LIMITED,07960177,Active,Director,Resigned,25 July 2012,15 March 2016
1067,Anne Marie MORRIS,SOLICITORS PRO BONO GROUP,03410932,Active,Director,Resigned,18 July 2012,20 October 2015
1067,Anne Marie MORRIS,SANDFORD ORLEIGH MANAGEMENT COMPANY LIMITED,04246935,Active,Director,Resigned,4 December 2007,15 April 2015
1067,Anne Marie MORRIS,ESTUARIES MULTI ACADEMY TRUST,07717015,Dissolved,Director,Resigned,1 August 2011,4 March 2012
1067,Anne Marie MORRIS,EMCC UK,05625451,Active,Director,Resigned,12 May 2008,13 January 2009
1114,Charles William Henry DODMAN,MILLENNIUM NATIONWIDE LTD,03494734,Dissolved,Director,Resigned,5 July 2001,23 March 2007
1114,Charles William Henry DODMAN,RENLUT LIMITED,01518893,Dissolved,Director,Resigned,31 December 1991,6 February 1998
1120,Jeremy CORBYN,HANLEY CROUCH COMMUNITY ASSOCIATION LIMITED,01771608,Active,Director,Active,30 September 2006,
1123,Caroline Fiona Ellen NOKES,NATIONAL PONY SOCIETY(THE),00077583,Active,Secretary,Resigned,1 April 2008,11 September 2009
1142,Emma Jane BISHTON,COLCHESTER SING TO BEAT PARKINSON'S CIC,14573152,Active,Director,Active,5 January 2023,
1142,Emma Jane BISHTON,RESCUE OUR SCHOOLS,11900374,Active,Director,Resigned,23 March 2019,28 March 2020
1168,Ronald Walter Alexander Leslie BEADLE,LOW FELL FLOSS LIMITED,11428513,Dissolved,Director,,22 November 2018,
1168,Ronald Walter Alexander Leslie BEADLE,NORTH EAST INITIATIVE ON BUSINESS ETHICS LTD,09699995,Active,Director,Resigned,23 May 2017,22 September 2021
1168,Ronald Walter Alexander Leslie BEADLE,THE NORTH EAST CIRCUS DEVELOPMENT TRUST,06949073,Dissolved,Director,Resigned,1 June 2018,1 June 2021
1179,Graham Eric STRINGER,THE GLOBAL WARMING POLICY FOUNDATION,06962749,Active,Director,Active,1 October 2015,
1179,Graham Eric STRINGER,CENTRE FOR BREXIT POLICY LIMITED,12497562,Active,Director,Resigned,4 March 2020,25 January 2022
1179,Graham Eric STRINGER,VOTE LEAVE LIMITED,09785255,Dissolved,Director,Resigned,22 December 2015,30 June 2016
1303,Karen BRADLEY,RKM RECYCLING LTD,07303680,Dissolved,Director,,5 July 2010,
1303,Karen BRADLEY,MILLSTREAM SADDLERY LIMITED,13273769,Active,Director,Active,17 March 2021,
1331,Alistair CARMICHAEL,THE COUNCIL FOR THE ADVANCEMENT OF ARAB-BRITISH UNDERSTANDING,05047247,Active,Director,Active,8 July 2017,
1365,Grahame Mark MORRIS,GAPPP LIMITED,04267701,Dissolved,Secretary,,9 August 2001,
1365,Grahame Mark MORRIS,THE FRIENDS OF THE DURHAM MINERS' GALA LIMITED,09400021,Active,Director,Resigned,29 January 2016,24 October 2018
1365,Grahame Mark MORRIS,EAST DURHAM PARTNERSHIP LIMITED,03055620,Active,Director,Resigned,25 March 2010,13 February 2012
1365,Grahame Mark MORRIS,GAPPP LIMITED,04267701,Dissolved,Director,Resigned,9 August 2001,30 March 2010
1365,Grahame Mark MORRIS,NUMJAI LIMITED,04034731,Dissolved,Secretary,Resigned,22 July 2000,3 October 2001
1365,Grahame Mark MORRIS,NUMJAI LIMITED,04034731,Dissolved,Director,Resigned,22 July 2000,3 October 2001
1432,Jane BROPHY,SOUTH MANCHESTER LEARNING TRUST,08137701,Active,Director,Resigned,1 September 2017,19 May 2020
1432,Jane BROPHY,BRITISH DIETETIC ASSOCIATION(THE),00435492,Active,Director,Resigned,5 July 2018,24 January 2019
1432,Jane BROPHY,SOUTH MANCHESTER LEARNING TRUST,08137701,Active,Director,Resigned,14 November 2012,13 November 2016
1439,Alan David STRICKLAND,OXFORD STUDENT SERVICES LIMITED,01483712,Dissolved,Director,Resigned,1 July 2006,30 June 2007
1474,Dawn BUTLER,WILLESDEN TRADES HALL LIMITED,13732125,Active,Director,Active,14 October 2023,
1476,Harriett BALDWIN,COMMONWEALTH PARLIAMENTARY ASSOCIATION (UNITED KINGDOM BRANCH),04606846,Active,Director,Active,28 January 2020,
1592,David MUNDELL,COMMONWEALTH PARLIAMENTARY ASSOCIATION (UNITED KINGDOM BRANCH),04606846,Active,Director,Active,28 January 2020,
1616,Mark PRITCHARD,RUBBERBALL VENTURES LIMITED,05147952,Dissolved,Director,,8 June 2004,
1629,Michael DE WHALLEY,KLWIN LIMITED,07654562,Dissolved,Director,,1 June 2011,
1712,Martin Alan HOGBIN,LIMPSFIELD COMMUNITY ASSETS LTD,11281019,Dissolved,Director,,28 March 2018,
1712,Martin Alan HOGBIN,REVERBERATE LIMITED,07328262,Dissolved,Director,,28 July 2010,
1712,Martin Alan HOGBIN,DETILLENS LIMITED,06277092,Dissolved,Director,,12 June 2007,
1712,Martin Alan HOGBIN,TPF 75 LIMITED,04372041,Active,Director,Resigned,15 December 2003,10 July 2013
1712,Martin Alan HOGBIN,75 TORRINGTON PARK (MAINTENANCE COMPANY) LIMITED,00928688,Active,Director,Resigned,15 December 2003,10 July 2013
1712,Martin Alan HOGBIN,LIVING CONTROL LIMITED,03581774,Dissolved,Director,Resigned,10 June 1998,22 May 2009
1712,Martin Alan HOGBIN,DARWIN ASSOCIATES LIMITED,03342228,Dissolved,Director,Resigned,14 December 1998,31 August 2005
1759,Ian Richard Peregrine LIDDELL-GRAINGER,COMMONWEALTH PARLIAMENTARY ASSOCIATION (UNITED KINGDOM BRANCH),04606846,Active,Director,Active,7 July 2010,
1768,Philip Thomas HOLLOBONE,MUSTY PEARL LIMITED,08669270,Dissolved,Director,,30 August 2013,
